ID,Order,Name (AZ),Name (EN),Description (AZ),Description (EN),Website,Card Image Link,Word File (AZ),Word File (EN),Presentation (AZ),Presentation (EN),Created At
0a854689-27ab-434a-8d7e-d9b91fe59876,10,Baku MobilityOS,Baku MobilityOS,"BAKU MOBILITY OS AI əsaslı şəhər əməliyyat sistemidir və şəhərin hərəkətini, ritmini və nəqliyyat axınını real vaxtda idarə edir. Platforma AI, Digital Twin və canlı məlumat analitikası vasitəsilə tıxacları yaranmadan öncə proqnozlaşdırır, optimallaşdırır və şəhərin ümumi mobilliyini artırır. Layihənin əsas məqsədi Bakını gələcəyin ağıllı, ritmik və proaktiv urban idarəetmə modelinə çevirməkdir.","BAKU MOBILITY OS is an AI-powered urban operating system that manages city movement, rhythm, and mobility flows in real time. Using AI, Digital Twin technology, and live analytics, the platform predicts and optimizes congestion before it happens while improving the overall efficiency of urban transportation. Its core vision is to transform Baku into a smart, rhythmic, and proactive city orchestration model of the future.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-1-1779354369080.png,https://projects-back.siradzu.com/uploads/word_az-bakumobilityos-mvp-az-1779354369081.docx,,https://projects-back.siradzu.com/uploads/ppt_az-bir-seher-bir-beyin-bir-hereket-sistemi-1779354369082.pptx,,2026-05-21T09:06:09.270Z
da518095-ff03-4669-aaca-00bbd43b3b1f,11,AzerDigital Bridge,AzerDigital Bridge,"AzerDigital Bridge dövlət qurumları, vətəndaşlar və bizneslər arasında rəqəmsal koordinasiyanı gücləndirən AI əsaslı idarəetmə platformasıdır. Platforma müraciət sistemlərini, regional rəqəmsal göstəriciləri və GovTech əməkdaşlıqlarını vahid ekosistemdə birləşdirir. Məqsəd daha çevik, şəffaf və data əsaslı dövlət idarəçiliyi yaratmaqdır.","AzerDigital Bridge is an AI-powered governance and analytics platform designed to strengthen digital coordination between government institutions, citizens, and businesses. The platform unifies complaint systems, regional digital indicators, and GovTech collaboration tools within a single ecosystem. Its goal is to create a more agile, transparent, and data-driven public administration environment.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-10-1779435076070.png,https://projects-back.siradzu.com/uploads/word_az-azerdigital-bridge-mvp-az-1779435076071.docx,https://projects-back.siradzu.com/uploads/word_en-azerdigital-bridge-mvp-eng-1779435076071.docx,,,2026-05-22T07:31:16.079Z
d1fe5504-9912-4ee6-87e4-9219dd1527d0,12,KBT DigitalOS ,KBT DigitalOS ,"KBT Digital OS tikinti, infrastruktur və obyekt idarəetmə proseslərini vahid rəqəmsal ekosistemdə birləşdirən əməliyyat idarəetmə platformasıdır. Sistem layihələrin, materialların, texnikanın, sənədlərin və sahə əməliyyatlarının real vaxtda izlənməsini təmin edərək rəhbərlik üçün daha sürətli və koordinasiyalı qərarvermə imkanı yaradır. Platformanın əsas məqsədi KBT-nin əməliyyatlarını daha şəffaf, idarəolunan və gələcək rəqəmsal transformasiyaya hazır hala gətirməkdir.","KBT Digital OS is a digital operations management platform that unifies construction, infrastructure, and facility management processes within a single ecosystem. The system enables real-time monitoring of projects, materials, machinery, documents, and field operations while helping management make faster and more coordinated decisions. Its core mission is to make KBT’s operations more transparent, manageable, and ready for future digital transformation.",https://edusaz.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-9-1779378234086.png,https://projects-back.siradzu.com/uploads/word_az-kbt-digital-os-uzun-mvp-az-1779364114409.docx,,https://projects-back.siradzu.com/uploads/ppt_az-kbt-digital-os-1779364114410.pptx,,2026-05-21T11:48:34.611Z
d0ca7c41-1779-4267-894b-b2f23102469a,13,Baku MoveOS,Baku MoveOS,"BakuMove OS Bakı şəhəri üçün hazırlanmış ağıllı urban mobility və nəqliyyat idarəetmə platformasıdır. Layihə avtobus, metro, taksi, dayanacaq və sərnişin axını məlumatlarını vahid rəqəmsal ekosistemdə birləşdirir. Platforma real vaxt analitikası və AI əsaslı marşrut optimallaşdırılması vasitəsilə sərnişinlərə daha sürətli, rahat və effektiv nəqliyyat təcrübəsi təqdim edir.","BakuMove OS is a smart urban mobility platform designed to improve transportation management in Baku. It brings together buses, metro, taxis, parking systems, and passenger flow data into one intelligent digital ecosystem. The platform uses real-time analytics and AI-powered route optimization to help passengers travel faster, easier, and more comfortably.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-13-1779689795633.png,https://projects-back.siradzu.com/uploads/word_az-bakumove-os-mvp-az-1779689783750.docx,https://projects-back.siradzu.com/uploads/word_en-bakumove-os-mvp-eng-1779689783750.docx,,,2026-05-25T06:16:23.756Z
cdf24722-673e-4fbd-ba64-8c2be7d941f5,14,CosmoLoop,CosmoLoop,"CosmoLoop peyk görüntüləri və AI texnologiyaları əsasında qurulmuş geo-analitika və land intelligence platformasıdır. Platforma torpaq analizi, kənd təsərrüfatı, urban planning və risk idarəetməsi üçün analitik xəritələr və hesabatlar təqdim edir. Layihənin məqsədi mürəkkəb kosmik məlumatları dövlətlər, investorlar və bizneslər üçün praktik və ağıllı qərar sistemlərinə çevirməkdir.","CosmoLoop is an AI-powered geo-analytics and land intelligence platform that transforms satellite data into practical business and planning insights. The platform provides analytical maps and reports for land analysis, agriculture, urban planning, and risk management using satellite imagery and AI technologies. Its goal is to turn complex space data into smart, decision-oriented solutions for governments, investors, and businesses.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-14-1779690269940.png,https://projects-back.siradzu.com/uploads/word_az-cosmoloop-mvp-az-1779690269941.docx,https://projects-back.siradzu.com/uploads/word_en-cosmoloop-mvp-eng-1779690269941.docx,,,2026-05-25T06:24:29.946Z
fb8ccf4d-7932-454e-a0f6-bc6eebaf9311,15,LoopEra,LoopEra,"LOOPERA məhsul tullantılarını azaltmaq və marketlərin satılmamış məhsulları daha effektiv idarə etməsi üçün hazırlanmış ağıllı retail və davamlılıq platformasıdır. Platforma dinamik endirim sistemləri və real vaxt məhsul idarəetməsi vasitəsilə son istifadə tarixinə yaxın məhsulları tullantı əvəzinə dəyərə çevirir. LOOPERA bizneslərin itkilərini azaltdığı, istehlakçıların qənaət etdiyi və davamlılığın inkişaf etdiyi balanslı ekosistem yaradır.","LOOPERA is a smart retail and sustainability platform designed to reduce product waste and help supermarkets manage unsold products more efficiently. The platform uses dynamic discount systems and real-time product management to turn near-expiry items into valuable sales opportunities instead of waste. LOOPERA creates a balanced ecosystem where businesses reduce losses, consumers save money, and sustainability improves.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-15-1779690588554.png,https://projects-back.siradzu.com/uploads/word_az-loopera-mvp-az-1779690588555.docx,https://projects-back.siradzu.com/uploads/word_en-loopera-mvp-eng-1779690588556.docx,,https://projects-back.siradzu.com/uploads/ppt_en-nothing-is-waste-everything-is-value-1779690588556.pptx,2026-05-25T06:29:48.966Z
ad333ebf-d981-44aa-83ac-fdc7cbd85067,16,Psixoloji təhlükəsizlik,Psixi Safe,"PSIXI SAFE insanların emosional vəziyyətlərini daha yaxşı anlamasına kömək edən məxfi və anonim psixoloji rifah platformasıdır. Sadə suallar və AI dəstəklı analiz vasitəsilə platforma istifadəçilərə təzyiqsiz və mühakiməsiz şəkildə özlərini dərk edə biləcəkləri sakit bir məkan yaradır. PSIXI SAFE diaqnozdan çox erkən fərqindəlik, məxfilik və psixoloji təhlükəsizliyə fokuslanır.","PSIXI SAFE is a private and anonymous mental well-being platform designed to help people better understand how they feel emotionally. Through simple questions and AI-supported analysis, the platform creates a calm and judgment-free space where users can reflect on their emotional state without pressure or fear. PSIXI SAFE focuses on early awareness, privacy, and psychological safety rather than diagnosis or social exposure.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-18-1779692728590.png,https://projects-back.siradzu.com/uploads/word_az-psixi-safe-mvp-az-1779692728590.docx,https://projects-back.siradzu.com/uploads/word_en-psixi-safea-mvp-eng-1779692728590.docx,,https://projects-back.siradzu.com/uploads/ppt_en-psixi-tesluikesizlik-mvp-eng-1779692728591.pptx,2026-05-25T07:05:28.662Z
90d9217f-cec3-4796-9f63-0319e654440e,17,REYLTOCITYOS,REYLTOCITYOS,"REYLTO CITY OS daşınmaz əmlakın bütün həyat dövrünü vahid ekosistemdə rəqəmsallaşdıran AI əsaslı proptech və smart building platformasıdır. Platforma əmlak satışı, bina idarəetməsi, sakin xidmətləri, AI analitikası və property intelligence sistemlərini birləşdirərək daha ağıllı və əlaqəli yaşayış mühiti yaradır. REYLTO CITY OS AI dəstəklı analiz və avtomatlaşdırma vasitəsilə binaları və əmlakları ağıllı rəqəmsal aktivlərə çevirir.","REYLTO CITY OS is an AI-powered proptech and smart building platform that digitalizes the entire real estate lifecycle within one integrated ecosystem. The platform combines property sales, building management, resident services, AI analytics, and property intelligence to create smarter and more connected living environments. REYLTO CITY OS transforms buildings and properties into intelligent digital assets through AI-driven analysis, automation, and resident-focused technologies.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-19-1779693034470.png,https://projects-back.siradzu.com/uploads/word_az-reyltocityos-mvp-az-1779693034470.docx,,https://projects-back.siradzu.com/uploads/ppt_az-reylto-city-os-1-1779693034471.pptx,,2026-05-25T07:10:34.629Z
ffd71e60-7fb6-4a69-a199-a0cf99cdd762,18,SilkMind,SilkMind,"TradeRoute AI / SilkMind Cargo OS beynəlxalq ticarət, ixrac və logistika proseslərini optimallaşdırmaq üçün hazırlanmış AI əsaslı qlobal əməliyyat sistemidir. Platforma export intelligence, logistika marşrutlaşdırılması, gömrük uyğunluğu, cargo risk analizi və AI əsaslı qərarvermə sistemlərini vahid ekosistemdə birləşdirir. TradeRoute AI ixracatçılara, logistika şirkətlərinə və cargo operatorlarına proqnozlaşdırıcı analitika və ağıllı avtomatlaşdırma vasitəsilə daha sürətli, təhlükəsiz və effektiv qərarlar verməyə kömək edir.","TradeRoute AI / SilkMind Cargo OS is an AI-powered global trade, export, and logistics operating system designed to optimize international cargo operations and supply chains. The platform combines export intelligence, logistics routing, customs compliance, cargo risk analysis, and AI-powered decision systems within one integrated ecosystem. TradeRoute AI helps exporters, logistics companies, and cargo operators make faster, safer, and smarter international trade decisions through predictive analytics and intelligent automation.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-22-1779694095928.png,https://projects-back.siradzu.com/uploads/word_az-siklmind-mvp-az-1779694095928.docx,,,,2026-05-25T07:28:15.930Z
8d24af54-5663-4320-a7d3-a04344720246,19,SilkMind Karqo,SilkMind Cargo,"SilkMind Cargo OS beynəlxalq logistika və cargo əməliyyatlarını daha ağıllı, təhlükəsiz və proqnozlaşdırıla bilən hala gətirmək üçün hazırlanmış AI əsaslı platformadır. Platforma cargo izləmə, risk analizi, sənəd yoxlanışı və əməliyyat intellektini vahid rəqəmsal ekosistemdə birləşdirir. SilkMind Cargo OS logistika operatorlarına və cargo şirkətlərinə AI dəstəklı qərarvermə vasitəsilə gecikmələri azaltmağa, riskləri erkən aşkar etməyə və beynəlxalq daşımaları daha effektiv idarə etməyə kömək edir.","SilkMind Cargo OS is an AI-powered logistics and cargo intelligence platform designed to make international cargo operations smarter, safer, and more predictable. The platform combines cargo tracking, risk analysis, document verification, and operational intelligence within one unified digital ecosystem. SilkMind Cargo OS helps logistics operators and cargo companies reduce delays, detect risks early, and manage global shipping processes more efficiently through AI-driven decision support.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-23-1779694190964.png,https://projects-back.siradzu.com/uploads/word_az-silkmind-cargo-os-mvp-az-1779694190964.docx,https://projects-back.siradzu.com/uploads/word_en-silkmind-cargo-os-mvp-eng-1779694190965.docx,,,2026-05-25T07:29:50.966Z
